Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
bayesChangePt,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.981366459627,-10.138702506117662,8,15700,101,1491,18050
bayesChangePt,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.981366459627,-3.3559813307852817,1,1874,2,248,2500
bayesChangePt,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.981366459627,-0.6054973350714601,3,19671,6,2265,22695
bayesChangePt,reward_low_FN_rate,realTraffic/speed_7578.csv,0.981366459627,0.639165564316428,3,841,1,113,1127
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.981366459627,-1.1920790113975193,2,3013,10,403,4032
bayesChangePt,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.981366459627,-1.255552686038535,2,1223,9,163,1643
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.981366459627,-4.487396241454759,12,13494,59,1578,15893
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.981366459627,0.6291493198524689,4,3015,11,398,4032
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.981366459627,0.9210935469102272,2,3084,1,341,4032
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.981366459627,-0.5264251425674866,3,3533,15,470,4730
bayesChangePt,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.981366459627,0.32778090006162997,1,1616,5,216,2162
bayesChangePt,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.981366459627,1.8614050509865565,3,1871,0,247,2495
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.981366459627,-3.363574242552719,5,13617,43,1427,15842
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.981366459627,-0.10292367829774762,3,3007,19,399,4032
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.981366459627,-7.87701467686011,1,13493,27,1587,15858
bayesChangePt,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.981366459627,-2.2510243836360138,4,2995,30,399,4032
bayesChangePt,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.981366459627,-1.2377747241660098,1,3004,21,402,4032
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.981366459627,-2.802444915416392,0,3017,8,403,4032
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.981366459627,-8.71840809348139,1,13461,53,1586,15851
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.981366459627,-3.8876472508528774,5,13499,60,1588,15902
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.981366459627,-7.370873754905076,0,3010,13,405,4032
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.981366459627,-1.3584491979244022,1,3024,2,401,4032
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.981366459627,1.939422306739111,3,3456,7,462,4621
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.981366459627,-4.22,0,929,2,126,1243
bayesChangePt,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.981366459627,-2.64,0,3404,24,0,4032
bayesChangePt,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.981366459627,0.42209858735216205,1,1151,4,152,1538
bayesChangePt,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.981366459627,-4.0,0,5791,0,726,7267
bayesChangePt,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.981366459627,-10.0,0,8535,0,1035,10320
bayesChangePt,reward_low_FN_rate,realTraffic/speed_6005.csv,0.981366459627,0.6226220017559383,1,1884,2,238,2500
bayesChangePt,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.981366459627,-4.0,0,1875,0,250,2500
bayesChangePt,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.981366459627,-2.64,0,3404,24,0,4032
bayesChangePt,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.981366459627,-1.23799881101003,3,3004,21,400,4032
bayesChangePt,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.981366459627,-1.2377747241660098,3,3004,21,400,4032
bayesChangePt,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.981366459627,-2.64,0,3404,24,0,4032
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.981366459627,-6.55,0,13572,5,1526,15853
bayesChangePt,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.981366459627,-1.414462948457803,2,1216,3,160,1624
bayesChangePt,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.981366459627,-1.2283456022636683,3,3004,21,400,4032
bayesChangePt,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.981366459627,-0.19890795339189116,2,4022,13,528,5315
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.981366459627,1.6131016041511954,2,3025,1,400,4032
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.981366459627,-2.340653504479403,4,13475,26,1576,15831
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.981366459627,-0.576822130894198,2,3011,14,401,4032
bayesChangePt,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.981366459627,0.0,0,3428,0,0,4032
bayesChangePt,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.981366459627,-1.2808961514757358,2,3078,4,344,4032
bayesChangePt,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.981366459627,-0.3767674990027139,2,1154,1,151,1538
bayesChangePt,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.981366459627,0.0,0,3428,0,0,4032
bayesChangePt,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.981366459627,0.39644839377769225,1,1213,5,162,1624
bayesChangePt,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.981366459627,-2.329870482093683,0,1781,3,239,2380
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.981366459627,-4.452205562585161,6,13515,49,1582,15902
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.981366459627,-1.3200000000000003,0,3416,12,0,4032
bayesChangePt,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.981366459627,1.279589748166048,2,1407,3,188,1882
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.981366459627,-11.647268298739,2,13470,61,1583,15866
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.981366459627,-1.3509982435695855,1,3026,0,401,4032
bayesChangePt,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.981366459627,-0.14176790460362165,1,3015,10,402,4032
bayesChangePt,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.981366459627,-0.2453541481693826,3,1225,8,161,1643
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.981366459627,0.8773127770158184,1,3025,0,402,4032
bayesChangePt,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.981366459627,-3.3812245145243174,8,13452,49,1574,15833
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.981366459627,0.16182695054561624,2,3530,17,472,4730
bayesChangePt,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.981366459627,0.5449128550569793,4,3016,10,398,4032
Totals,,,,-119.7471580442638,126,298407,940,33369,365558
