Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
contextOSE,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.765637207031,0.0,0,3428,0,0,4032
contextOSE,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.765637207031,0.862098587352,1,1155,0,152,1538
contextOSE,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.765637207031,-0.538599859273,1,5789,2,725,7267
contextOSE,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.765637207031,0.86142179597,1,1621,0,216,2162
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.765637207031,-0.00124221765676,2,3022,4,400,4032
contextOSE,reward_low_FP_rate,realTraffic/speed_6005.csv,0.765637207031,0.622622001756,1,1885,1,238,2500
contextOSE,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.765637207031,0.64067182427,1,3024,1,402,4032
contextOSE,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.765637207031,-0.0603199978378,3,13659,1,1429,15842
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.765637207031,1.72310160415,2,3026,0,400,4032
contextOSE,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.765637207031,-0.22,0,3427,1,0,4032
contextOSE,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.765637207031,0.720925635949,2,13514,0,1585,15851
contextOSE,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.765637207031,0.0,0,3428,0,0,4032
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.765637207031,-0.44,0,3426,2,0,4032
contextOSE,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.765637207031,-1.44,0,3023,2,403,4032
contextOSE,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.765637207031,0.409097234712,2,3461,2,463,4621
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.765637207031,1.32380671448,2,3545,2,472,4730
contextOSE,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.765637207031,0.512257696424,2,1231,1,163,1643
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.765637207031,0.313858008357,2,3021,2,403,4032
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.765637207031,0.337306470676,2,3021,2,403,4032
contextOSE,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.765637207031,-2.22,0,930,1,126,1243
contextOSE,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.765637207031,0.0,0,3428,0,0,4032
contextOSE,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.765637207031,1.7360251845,2,1875,0,248,2500
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.765637207031,0.678117973497,2,3083,2,341,4032
contextOSE,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.765637207031,-1.17926137429,1,1408,2,189,1882
contextOSE,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.765637207031,-0.355878346979,1,1218,1,161,1624
contextOSE,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.765637207031,-2.44,0,4033,2,530,5315
contextOSE,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.765637207031,1.86140505099,2,1871,0,248,2495
contextOSE,reward_low_FP_rate,realTraffic/speed_7578.csv,0.765637207031,3.03398870081,4,839,3,112,1127
contextOSE,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.765637207031,0.779363381547,3,13548,5,1587,15893
contextOSE,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.765637207031,0.86241650019,1,3025,0,402,4032
contextOSE,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.765637207031,1.51101553653,2,3025,1,400,4032
contextOSE,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.765637207031,2.00072210783,3,1874,2,246,2500
contextOSE,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.765637207031,-0.911289753023,1,15794,7,1498,18050
contextOSE,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.765637207031,-0.498618822691,2,13500,1,1578,15831
contextOSE,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.765637207031,0.641391591578,1,1783,1,238,2380
contextOSE,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.765637207031,0.270378699165,1,3022,3,402,4032
contextOSE,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.765637207031,0.208391689768,1,3545,3,472,4730
contextOSE,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.765637207031,1.72310160415,2,3026,0,400,4032
