Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
expose,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.999926757813,-3.0,0,1876,0,249,2500
expose,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.999926757813,0.0,0,3428,0,0,4032
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.999926757813,-1.0,0,3085,0,343,4032
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.999926757813,-3.04888188679,1,3529,19,472,4730
expose,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.999926757813,-1.0,0,1784,0,239,2380
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.999926757813,-2.0,0,3026,0,402,4032
expose,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.999926757813,-2.0,0,931,0,126,1243
expose,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.999926757813,-4.0,0,19677,0,2268,22695
expose,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.999926757813,-2.20173148085,1,13572,5,1525,15853
expose,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.999926757813,-5.0,0,8535,0,1035,10320
expose,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.999926757813,-3.0,0,13660,0,1432,15842
expose,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.999926757813,-2.0,0,1410,0,190,1882
expose,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.999926757813,-2.0,0,13553,0,1590,15893
expose,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.999926757813,-3.0,0,1155,0,153,1538
expose,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.999926757813,-1.0,0,1621,0,217,2162
expose,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.999926757813,-3.0,0,3082,0,346,4032
expose,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.999926757813,-1.0,0,3025,0,403,4032
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.999926757813,-1.0,0,3025,0,403,4032
expose,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.999926757813,-4.0,0,13501,0,1580,15831
expose,reward_low_FP_rate,realTraffic/speed_7578.csv,0.999926757813,-4.0,0,842,0,116,1127
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.999926757813,-1.0,0,3025,0,403,4032
expose,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.999926757813,-1.24461742359,2,3014,11,401,4032
expose,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.999926757813,-1.0,0,15801,0,1499,18050
expose,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.999926757813,0.0,0,3428,0,0,4032
expose,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.999926757813,-2.0,0,3026,0,402,4032
expose,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.999926757813,-1.0,0,3025,0,403,4032
expose,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.999926757813,-2.0,0,1875,0,250,2500
