Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knncad,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,1.0,-0.06418811307365413,4,13546,13,1589,15902
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-0.21213465330344405,2,3018,5,403,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-0.7984491979244023,1,3023,3,401,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,1.502569846650011,2,3546,1,472,4730
knncad,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.2032387794056465,1,3022,3,402,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.2034736947499588,1,3021,4,402,4032
knncad,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,1.0,-0.24550063967109514,2,1405,5,188,1882
knncad,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,1.0,-2.0391078312934146,3,13519,12,1582,15866
knncad,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,1.8158690538429594,3,3081,1,343,4032
knncad,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,1.0,-0.6170788594240189,4,13499,15,1583,15851
knncad,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,1.0,1.2317703620721514,5,13552,12,1583,15902
knncad,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-0.22,0,3427,1,0,4032
knncad,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,-0.18961051957368413,2,1228,4,163,1643
knncad,reward_low_FP_rate,realTraffic/speed_t4013.csv,1.0,-0.7865855756115903,1,1868,3,249,2495
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-1.3770483409145649,1,3024,2,401,4032
knncad,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,0.6669434926526865,3,1229,4,161,1643
knncad,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,-1.5352105904554512,2,5784,7,724,7267
knncad,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,-0.23858661796000613,1,1779,5,238,2380
knncad,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,1.0,0.48762663983495447,4,13506,14,1584,15858
knncad,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,0.2880764664254173,1,3022,3,402,4032
knncad,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,4032
knncad,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,1.0,-0.2167300496290696,2,4029,6,528,5315
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,0.09473041692312112,2,3020,3,403,4032
knncad,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,1.0,-0.44,0,3426,2,0,4032
knncad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,0.42067182426970223,1,3023,2,402,4032
knncad,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,1.0,-1.7500480359557429,2,13485,16,1580,15833
knncad,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-0.6629126931779048,3,13490,11,1577,15831
knncad,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-3.1960060458220823,1,15782,19,1498,18050
knncad,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,1.0,-1.0822544581166857,2,13539,14,1588,15893
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,0.20067201025505965,1,3022,3,402,4032
knncad,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.8788900032347244,0,3021,4,403,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-3.1,0,926,5,126,1243
knncad,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,1.0,-0.746301516690989,1,1872,3,249,2500
knncad,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,1.0,1.148334853980677,2,1216,3,160,1624
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,0.48280918370140835,1,3546,2,472,4730
knncad,reward_low_FP_rate,realTraffic/TravelTime_451.csv,1.0,-1.8799830128978157,0,1617,4,217,2162
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.6573127770158185,1,3024,1,402,4032
knncad,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,1.0,0.3816183669652107,4,13566,11,1522,15853
knncad,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.6588903754120345,0,3022,3,403,4032
knncad,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,1.0,-1.0580594429516967,5,13642,18,1427,15842
knncad,reward_low_FP_rate,realTraffic/speed_6005.csv,1.0,-0.48746179853189286,1,1880,6,238,2500
knncad,reward_low_FP_rate,realTraffic/TravelTime_387.csv,1.0,0.3182736071515344,2,1874,2,247,2500
knncad,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,-0.66,0,3425,3,0,4032
knncad,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-4.830602938726795,3,19659,18,2265,22695
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,1.5134123680067761,2,3025,1,400,4032
knncad,reward_low_FP_rate,realTraffic/speed_7578.csv,1.0,1.031133898212866,3,840,2,113,1127
knncad,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,1.0,-0.4557780735279471,1,1149,6,152,1538
knncad,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-0.14177282016152637,1,3020,5,402,4032
knncad,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-0.88,0,3424,4,0,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,1.2831016041511956,2,3024,2,400,4032
knncad,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,0.32203752314174205,2,3460,3,463,4621
knncad,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,1.0,2.1435953072989715,3,1153,2,150,1538
knncad,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.7295356565306357,2,3083,2,341,4032
