Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
knncad,standard,realTweets/Twitter_volume_CRM.csv,1.0,1.3648187341532132,4,13546,13,1589,15902
knncad,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,0.33754614240455383,2,3018,5,403,4032
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-0.4684491979244023,1,3023,3,401,4032
knncad,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,1.612569846650011,2,3546,1,472,4730
knncad,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.5328276397977657,1,3022,3,402,4032
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.5965780623886315,1,3021,4,402,4032
knncad,standard,realKnownCause/rogue_agent_key_hold.csv,1.0,0.3005000233548112,2,1405,5,188,1882
knncad,standard,realTweets/Twitter_volume_UPS.csv,1.0,-0.7207529983519638,3,13519,12,1582,15866
knncad,standard,realKnownCause/ec2_request_latency_system_failure.csv,1.0,1.9258690538429593,3,3081,1,343,4032
knncad,standard,realTweets/Twitter_volume_KO.csv,1.0,1.0327075623532773,4,13499,15,1583,15851
knncad,standard,realTweets/Twitter_volume_AAPL.csv,1.0,2.48335027418735,5,13552,12,1583,15902
knncad,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-0.11,0,3427,1,0,4032
knncad,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,0.2503685327370069,2,1228,4,163,1643
knncad,standard,realTraffic/speed_t4013.csv,1.0,-0.4565855756115902,1,1868,3,249,2495
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-1.157048340914565,1,3024,2,401,4032
knncad,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,1.1069434926526864,3,1229,4,161,1643
knncad,standard,realKnownCause/ambient_temperature_system_failure.csv,1.0,-0.7676052952277256,2,5784,7,724,7267
knncad,standard,realTraffic/occupancy_6005.csv,1.0,0.3113429362076934,1,1779,5,238,2380
knncad,standard,realTweets/Twitter_volume_PFE.csv,1.0,1.9204017138146978,4,13506,14,1584,15858
knncad,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,0.6180725368588067,1,3022,3,402,4032
knncad,standard,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,4032
knncad,standard,realKnownCause/rogue_agent_key_updown.csv,1.0,0.43000374529722485,2,4029,6,528,5315
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,0.4217441043477559,2,3020,3,403,4032
knncad,standard,artificialNoAnomaly/art_noisy.csv,1.0,-0.22,0,3426,2,0,4032
knncad,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,0.6406718242697023,1,3023,2,402,4032
knncad,standard,realTweets/Twitter_volume_FB.csv,1.0,0.009850848635417853,2,13485,16,1580,15833
knncad,standard,realTweets/Twitter_volume_AMZN.csv,1.0,0.4896568414429767,3,13490,11,1577,15831
knncad,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-1.1060060458220815,1,15782,19,1498,18050
knncad,standard,realTweets/Twitter_volume_IBM.csv,1.0,0.3834631788944909,2,13539,14,1588,15893
knncad,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,0.5306719172623809,1,3022,3,402,4032
knncad,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.4394450016173623,0,3021,4,403,4032
knncad,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.55,0,926,5,126,1243
knncad,standard,realTraffic/occupancy_t4013.csv,1.0,-0.4163015166909889,1,1872,3,249,2500
knncad,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,1.4244161510915554,2,1216,3,160,1624
knncad,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,0.6961994302001135,1,3546,2,472,4730
knncad,standard,realTraffic/TravelTime_451.csv,1.0,-1.4399915064489077,0,1617,4,217,2162
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.7673127770158185,1,3024,1,402,4032
knncad,standard,realTweets/Twitter_volume_CVS.csv,1.0,1.5916092446634669,4,13566,11,1522,15853
knncad,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.3294451877060172,0,3022,3,403,4032
knncad,standard,realTweets/Twitter_volume_GOOG.csv,1.0,0.8793398666467933,5,13642,18,1427,15842
knncad,standard,realTraffic/speed_6005.csv,1.0,0.17253820146810717,1,1880,6,238,2500
knncad,standard,realTraffic/TravelTime_387.csv,1.0,0.5382736071515344,2,1874,2,247,2500
knncad,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,4032
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,-0.33,0,3425,3,0,4032
knncad,standard,realKnownCause/machine_temperature_system_failure.csv,1.0,-2.8564112107743633,3,19659,18,2265,22695
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,1.623412368006776,2,3025,1,400,4032
knncad,standard,realTraffic/speed_7578.csv,1.0,1.2511338982128657,3,840,2,113,1127
knncad,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,0.20316025691210748,1,1149,6,152,1538
knncad,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,0.4082271798384737,1,3020,5,402,4032
knncad,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-0.44,0,3424,4,0,4032
knncad,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,1.5031016041511955,2,3024,2,400,4032
knncad,standard,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,0.639297821160631,2,3460,3,463,4621
knncad,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,2.3635940842128584,3,1153,2,150,1538
knncad,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.8640444668030384,2,3083,2,341,4032
knncad,standard,realKnownCause/nyc_taxi.csv,1.0,0.26509116701106183,3,8531,4,1032,10320
knncad,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,0.5362056115016636,1,1215,3,162,1624
knncad,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-0.4684491979244023,1,3023,3,401,4032
knncad,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,1.796450920265268,2,3026,0,400,4032
Totals,,,,18.54687659285237,100,299034,313,33395,365558
