Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
null,standard,realTraffic/speed_t4013.csv,0.6,-2.0,0,1871,0,250,2495
null,standard,realTraffic/TravelTime_387.csv,0.6,-3.0,0,1876,0,249,2500
null,standard,realKnownCause/rogue_agent_key_updown.csv,0.6,-2.0,0,4035,0,530,5315
null,standard,realTweets/Twitter_volume_PFE.csv,0.6,-4.0,0,13520,0,1588,15858
null,standard,artificialNoAnomaly/art_flatline.csv,0.6,0.0,0,3428,0,0,4032
null,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.6,-2.0,0,3026,0,402,4032
null,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realTweets/Twitter_volume_KO.csv,0.6,-3.0,0,13514,0,1587,15851
null,standard,realAdExchange/exchange-3_cpm_results.csv,0.6,-1.0,0,1155,0,153,1538
null,standard,realTweets/Twitter_volume_FB.csv,0.6,-2.0,0,13501,0,1582,15833
null,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.6,-1.0,0,3548,0,473,4730
null,standard,realTraffic/TravelTime_451.csv,0.6,-1.0,0,1621,0,217,2162
null,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.6,0.0,0,3428,0,0,4032
null,standard,realTweets/Twitter_volume_UPS.csv,0.6,-5.0,0,13531,0,1585,15866
null,standard,realTraffic/occupancy_t4013.csv,0.6,-2.0,0,1875,0,250,2500
null,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.6,-2.0,0,931,0,126,1243
null,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.6,-2.0,0,3026,0,402,4032
null,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.6,-2.0,0,3026,0,402,4032
null,standard,realTweets/Twitter_volume_GOOG.csv,0.6,-3.0,0,13660,0,1432,15842
null,standard,realAdExchange/exchange-2_cpm_results.csv,0.6,-2.0,0,1219,0,162,1624
null,standard,realAdExchange/exchange-3_cpc_results.csv,0.6,-3.0,0,1155,0,153,1538
null,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.6,-3.0,0,3082,0,346,4032
null,standard,realTraffic/occupancy_6005.csv,0.6,-1.0,0,1784,0,239,2380
null,standard,realAdExchange/exchange-4_cpc_results.csv,0.6,-3.0,0,1232,0,165,1643
null,standard,realTweets/Twitter_volume_CRM.csv,0.6,-3.0,0,13559,0,1593,15902
null,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.6,0.0,0,3428,0,0,4032
null,standard,realAdExchange/exchange-4_cpm_results.csv,0.6,-4.0,0,1233,0,164,1643
null,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.6,-3.0,0,3463,0,465,4621
null,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.6,-2.0,0,3026,0,402,4032
null,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.6,0.0,0,3428,0,0,4032
null,standard,realTweets/Twitter_volume_AAPL.csv,0.6,-4.0,0,13564,0,1588,15902
null,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realTraffic/speed_6005.csv,0.6,-1.0,0,1886,0,239,2500
null,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.6,-2.0,0,3547,0,474,4730
null,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.6,-3.0,0,3023,0,405,4032
null,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realTweets/Twitter_volume_AMZN.csv,0.6,-4.0,0,13501,0,1580,15831
null,standard,realTweets/Twitter_volume_CVS.csv,0.6,-3.0,0,13577,0,1526,15853
null,standard,realKnownCause/nyc_taxi.csv,0.6,-5.0,0,8535,0,1035,10320
null,standard,realAdExchange/exchange-2_cpc_results.csv,0.6,-1.0,0,1218,0,163,1624
null,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.6,-1.0,0,15801,0,1499,18050
null,standard,artificialWithAnomaly/art_daily_nojump.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realTweets/Twitter_volume_IBM.csv,0.6,-2.0,0,13553,0,1590,15893
null,standard,realKnownCause/machine_temperature_system_failure.csv,0.6,-4.0,0,19677,0,2268,22695
null,standard,realKnownCause/ambient_temperature_system_failure.csv,0.6,-2.0,0,5791,0,726,7267
null,standard,realTraffic/speed_7578.csv,0.6,-4.0,0,842,0,116,1127
null,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,realKnownCause/rogue_agent_key_hold.csv,0.6,-2.0,0,1410,0,190,1882
null,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.6,-1.0,0,3085,0,343,4032
null,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.6,-2.0,0,3026,0,402,4032
null,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.6,-3.0,0,3023,0,405,4032
null,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.6,-1.0,0,3025,0,403,4032
null,standard,artificialNoAnomaly/art_noisy.csv,0.6,0.0,0,3428,0,0,4032
null,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.6,-2.0,0,3026,0,402,4032
null,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.6,0.0,0,3428,0,0,4032
Totals,,,,-116.0,0,299347,0,33495,365558
