Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,reward low FN rate,artificialNoAnomaly/art_daily_small_noise.csv,0.9999755859375006,-0.055,0,3427,1,0,4032
numenta,reward low FN rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9999755859375006,0.7897923060442374,13,3022,3,390,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9999755859375006,0.8589124122602588,1,3025,0,402,4032
numenta,reward low FN rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9999755859375006,-2.22,0,928,4,125,1243
numenta,reward low FN rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9999755859375006,-0.18819682128101356,44,13823,21,1455,18050
numenta,reward low FN rate,artificialNoAnomaly/art_noisy.csv,0.9999755859375006,0.0,0,3428,0,0,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9999755859375006,1.3207644281092692,3,3020,6,399,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9999755859375006,-1.1282787926255873,1,3026,0,401,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9999755859375006,0.8589124122602588,4,3025,0,399,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9999755859375006,0.8553300258375528,1,3025,0,402,4032
numenta,reward low FN rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.9999755859375006,1.4131867421244484,6,3455,11,456,4621
numenta,reward low FN rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9999755859375006,0.8039124122602588,1,3024,1,402,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9999755859375006,-0.165,0,3425,3,0,4032
numenta,reward low FN rate,realKnownCause/ambient_temperature_system_failure.csv,0.9999755859375006,1.5980680208178575,7,5448,3,719,7267
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9999755859375006,1.5070240045601957,3,3026,0,399,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9999755859375006,0.8336628492365035,2,3022,3,401,4032
numenta,reward low FN rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9999755859375006,0.0,0,3428,0,0,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9999755859375006,0.8927920838688641,4,3548,0,469,4730
numenta,reward low FN rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9999755859375006,1.6743736695075104,5,3026,0,397,4032
numenta,reward low FN rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9999755859375006,1.7087416049714736,2,3026,0,400,4032
numenta,reward low FN rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9999755859375006,-1.2411670659865115,1,3024,2,401,4032
numenta,reward low FN rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9999755859375006,0.8270285026209319,1,3023,2,402,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9999755859375006,1.6610388415270383,2,3025,1,400,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9999755859375006,-1.2097095984061936,2,3545,2,472,4730
numenta,reward low FN rate,artificialNoAnomaly/art_flatline.csv,0.9999755859375006,0.0,0,3428,0,0,4032
numenta,reward low FN rate,artificialWithAnomaly/art_daily_nojump.csv,0.9999755859375006,0.7083516263035399,9,3024,1,394,4032
numenta,reward low FN rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9999755859375006,-0.3388628341759288,13,3021,2,392,4032
numenta,reward low FN rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9999755859375006,0.0,0,3428,0,0,4032
numenta,reward low FN rate,realKnownCause/machine_temperature_system_failure.csv,0.9999755859375006,2.8819136455375025,20,17020,0,2251,22695
numenta,reward low FN rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.9999755859375006,0.8589124122602588,2,3025,0,401,4032
numenta,reward low FN rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9999755859375006,0.7524202940044488,1,3023,2,402,4032
numenta,reward low FN rate,realKnownCause/ec2_request_latency_system_failure.csv,0.9999755859375006,-0.8768544768570921,2,3082,0,344,4032
Totals,,,,15.38206870478008,150,125845,68,13475,164136
