Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.5126953125,-0.388661793234,3,13658,2,1429,15842
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.5126953125,-8.10999974812,0,13500,1,1580,15831
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5126953125,-2.12991272753,0,3023,2,403,4032
numentaNew,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.5126953125,-3.2873152306,1,1876,0,248,2500
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.5126953125,-2.30338014096,2,13539,20,1591,15902
numentaNew,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5126953125,-0.11,0,3427,1,0,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5126953125,-1.157530049,1,3547,0,473,4730
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.5126953125,-3.56064900502,2,13531,22,1588,15893
numentaNew,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5126953125,0.521668124615,1,3022,3,402,4032
numentaNew,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.5126953125,-5.14336980423,1,19677,0,2267,22695
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.5126953125,1.27958392964,2,13497,4,1580,15833
numentaNew,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5126953125,1.98538099556,3,3082,0,343,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5126953125,0.291678868373,1,3082,3,342,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5126953125,-3.23755505747,1,3022,1,404,4032
numentaNew,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.5126953125,-4.11,0,4034,1,530,5315
numentaNew,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.5126953125,0.0,0,3428,0,0,4032
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.5126953125,1.83131005557,3,13568,9,1523,15853
numentaNew,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.5126953125,-1.18864036001,1,1875,0,249,2500
numentaNew,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.5126953125,-2.0,0,1621,0,217,2162
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5126953125,0.874124955999,2,3025,0,401,4032
numentaNew,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.5126953125,-8.0,0,1233,0,164,1643
numentaNew,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.5126953125,-6.0,0,1232,0,165,1643
numentaNew,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5126953125,0.851668124615,3,3025,0,400,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5126953125,0.76057263016,2,3016,10,400,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5126953125,-1.14198431717,1,3026,0,401,4032
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.5126953125,2.4611499425,5,13512,2,1582,15851
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5126953125,-0.33296311181,6,3021,2,399,4032
numentaNew,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.5126953125,-4.11,0,1409,1,190,1882
numentaNew,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5126953125,-4.11,0,930,1,126,1243
numentaNew,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.5126953125,1.6956040571,2,1871,0,248,2495
numentaNew,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.5126953125,-5.47429744051,2,13519,1,1586,15858
numentaNew,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.5126953125,-2.0,0,1155,0,153,1538
numentaNew,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.5126953125,-7.09725377366,2,8535,0,1033,10320
numentaNew,reward_low_FN_rate,realTraffic/speed_7578.csv,0.5126953125,-5.21377584416,1,842,0,115,1127
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5126953125,-1.32,0,3416,12,0,4032
numentaNew,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.5126953125,0.0,0,3428,0,0,4032
numentaNew,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5126953125,0.853506766845,2,3025,0,401,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5126953125,0.670364385329,3,3546,2,470,4730
numentaNew,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5126953125,-2.0,0,3025,0,403,4032
numentaNew,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.5126953125,-6.0,0,1155,0,153,1538
numentaNew,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5126953125,1.75812012637,2,5791,0,724,7267
numentaNew,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5126953125,0.0,0,3428,0,0,4032
numentaNew,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.5126953125,-2.33,0,3022,3,403,4032
numentaNew,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5126953125,-1.16890836074,1,3026,0,401,4032
