Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.650769042969,0.696473598756,7,13515,5,1581,15858
numentaTM,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.650769042969,0.861272490375,1,1784,0,238,2380
numentaTM,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.650769042969,1.37586905384,7,3079,3,339,4032
numentaTM,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.650769042969,-1.0,0,1621,0,217,2162
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.650769042969,0.874124955999,3,3025,0,400,4032
numentaTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.650769042969,1.71226928014,3,3026,0,399,4032
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.650769042969,0.739634634561,2,3023,0,403,4032
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.650769042969,0.0,0,3428,0,0,4032
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.650769042969,-2.64,0,3416,12,0,4032
numentaTM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.650769042969,-2.22,0,930,1,126,1243
numentaTM,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.650769042969,0.591813980326,2,1876,0,247,2500
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.650769042969,-1.0,0,3025,0,403,4032
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.650769042969,-1.45706566172,7,13495,6,1573,15831
numentaTM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.650769042969,0.0863395800676,8,15797,4,1491,18050
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.650769042969,-1.89844919792,2,3018,8,400,4032
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.650769042969,0.736537840284,7,3084,1,336,4032
numentaTM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.650769042969,-0.138449197924,2,3026,0,400,4032
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.650769042969,0.0,0,3428,0,0,4032
numentaTM,reward_low_FP_rate,realTraffic/speed_6005.csv,0.650769042969,0.402622001756,3,1884,2,236,2500
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.650769042969,1.72048222172,3,13501,0,1579,15833
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.650769042969,2.08487861789,13,13529,2,1572,15866
numentaTM,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.650769042969,0.581136230981,5,8535,0,1030,10320
numentaTM,reward_low_FP_rate,realTraffic/speed_7578.csv,0.650769042969,3.10984456297,5,840,2,111,1127
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.650769042969,2.04969257496,8,13574,3,1518,15853
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.650769042969,1.06256984665,2,3544,3,472,4730
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.650769042969,0.86067182427,4,3025,0,399,4032
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.650769042969,0.0,0,3428,0,0,4032
numentaTM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.650769042969,-1.0,0,3025,0,403,4032
numentaTM,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.650769042969,-0.538599859273,2,5789,2,724,7267
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.650769042969,0.723575559502,5,13559,0,1588,15902
numentaTM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.650769042969,-1.0,0,1218,0,163,1624
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.650769042969,-0.531166832503,5,13654,6,1427,15842
numentaTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.650769042969,-2.44,0,1408,2,190,1882
numentaTM,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.650769042969,-1.20631693843,5,13539,14,1585,15893
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.650769042969,0.0103643853289,2,3544,4,471,4730
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.650769042969,1.72310160415,6,3026,0,396,4032
numentaTM,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.650769042969,1.38471036268,6,1232,1,158,1643
numentaTM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.650769042969,-2.88,0,4031,4,530,5315
numentaTM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.650769042969,2.55436755666,3,1155,0,150,1538
numentaTM,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.650769042969,1.98462491465,7,1871,0,243,2495
numentaTM,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.650769042969,1.5160251845,5,1874,1,245,2500
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.650769042969,0.984973021967,5,3023,3,397,4032
numentaTM,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.650769042969,0.0,0,3428,0,0,4032
numentaTM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.650769042969,0.292813503178,5,1230,2,160,1643
numentaTM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.650769042969,0.86067182427,4,3025,0,399,4032
