Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
random,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.998405097835,-0.7249356100257451,2,13536,17,1588,15893
random,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.998405097835,0.5615200227803134,1,1214,4,162,1624
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.998405097835,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.998405097835,1.0365272429288508,3,4029,6,527,5315
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.998405097835,-3.682761385568312,2,3017,6,403,4032
random,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.998405097835,-1.8593194352847515,1,1865,6,249,2495
random,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.998405097835,-1.7332588224528196,4,13499,15,1583,15851
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.998405097835,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.998405097835,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.998405097835,-4.086272705934395,3,13515,16,1582,15866
random,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.998405097835,-4.7331773142645375,2,13547,17,1586,15902
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.998405097835,-0.13797169063017112,1,3018,7,402,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.998405097835,-2.3676572523077972,1,3019,7,401,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.998405097835,-5.3627997560478935,1,13642,18,1431,15842
random,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.998405097835,0.8299047338837546,3,13543,16,1590,15902
random,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.998405097835,-4.983251101565729,0,3538,9,474,4730
random,reward_low_FN_rate,realTraffic/speed_6005.csv,0.998405097835,0.1545222581172584,2,1881,5,237,2500
random,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.998405097835,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.998405097835,-4.200000000000001,0,15781,20,1499,18050
random,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.998405097835,-2.058789863439915,3,13485,16,1577,15831
random,reward_low_FN_rate,realTraffic/speed_7578.csv,0.998405097835,-8.549576118374068,0,837,5,116,1127
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.998405097835,-0.88,0,3420,8,0,4032
random,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.998405097835,-2.44,0,1151,4,153,1538
random,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.998405097835,-4.393958575478701,1,1228,4,164,1643
random,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.998405097835,0.15425513401201396,1,3018,7,402,4032
random,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.998405097835,-2.8307687261890626,0,3017,8,403,4032
random,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.998405097835,-1.8593194352847515,1,1869,6,249,2500
random,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.998405097835,0.1940774309164366,1,3018,7,402,4032
random,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.998405097835,0.23013083099177611,2,5783,8,724,7267
random,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.998405097835,-4.878413720929136,0,3018,8,402,4032
random,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.998405097835,-3.1147372693163744,1,13483,18,1581,15833
random,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.998405097835,-6.439266342392369,0,1151,4,153,1538
random,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.998405097835,-1.5236764463855326,1,1407,3,189,1882
random,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.998405097835,-2.544105430032654,0,1779,5,239,2380
random,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.998405097835,-4.8786663209049195,0,3018,8,402,4032
random,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.998405097835,-4.52907546762325,1,1870,6,248,2500
