Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
random,standard,realTweets/Twitter_volume_IBM.csv,0.9994451352600001,-2.6459185140640793,0,13547,6,1590,15893
random,standard,realAdExchange/exchange-2_cpc_results.csv,0.9994451352600001,-1.3236545700137055,0,1215,3,163,1624
random,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9994451352600001,-0.55,0,3423,5,0,4032
random,standard,realKnownCause/rogue_agent_key_updown.csv,0.9994451352600001,1.4765270448465393,2,4033,2,528,5315
random,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9994451352600001,-1.4627734214855113,1,3019,4,404,4032
random,standard,realTraffic/speed_t4013.csv,0.9994451352600001,-0.7448863537513488,1,1867,4,249,2495
random,standard,realTweets/Twitter_volume_KO.csv,0.9994451352600001,-1.58692671616789,1,13509,5,1586,15851
random,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.9994451352600001,-0.55,0,3423,5,0,4032
random,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.9994451352600001,-0.55,0,3423,5,0,4032
random,standard,realTweets/Twitter_volume_UPS.csv,0.9994451352600001,-2.167565529956198,2,13527,4,1583,15866
random,standard,realTweets/Twitter_volume_AAPL.csv,0.9994451352600001,-3.1396358052082616,1,13559,5,1587,15902
random,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9994451352600001,0.18649148223448508,1,3021,4,402,4032
random,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9994451352600001,-1.0376572523077974,1,3022,4,401,4032
random,standard,realTweets/Twitter_volume_GOOG.csv,0.9994451352600001,-3.6599976912047167,0,13654,6,1432,15842
random,standard,realTweets/Twitter_volume_CRM.csv,0.9994451352600001,0.4194509831809008,2,13555,4,1591,15902
random,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9994451352600001,-2.5432530558382465,0,3542,5,474,4730
random,standard,realTraffic/speed_6005.csv,0.9994451352600001,0.26452225811725844,1,1882,4,238,2500
random,standard,artificialNoAnomaly/art_noisy.csv,0.9994451352600001,-0.55,0,3423,5,0,4032
random,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9994451352600001,-1.6600000000000001,0,15795,6,1499,18050
random,standard,realTweets/Twitter_volume_AMZN.csv,0.9994451352600001,-1.1737875683635364,2,13497,4,1578,15831
random,standard,realTraffic/speed_7578.csv,0.9994451352600001,-4.22,0,840,2,116,1127
random,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9994451352600001,-0.55,0,3423,5,0,4032
random,standard,realAdExchange/exchange-3_cpm_results.csv,0.9994451352600001,-1.22,0,1153,2,153,1538
random,standard,realAdExchange/exchange-4_cpc_results.csv,0.9994451352600001,-3.329998113529574,0,1229,3,165,1643
random,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9994451352600001,0.48423299586803065,1,3021,4,402,4032
random,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9994451352600001,-1.55,0,3020,5,403,4032
random,standard,realTraffic/occupancy_t4013.csv,0.9994451352600001,-0.7448863537513488,1,1871,4,249,2500
random,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9994451352600001,0.5239814040667685,1,3021,4,402,4032
random,standard,realKnownCause/ambient_temperature_system_failure.csv,0.9994451352600001,-2.44,0,5787,4,726,7267
random,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9994451352600001,-2.55,0,3021,5,402,4032
random,standard,realTweets/Twitter_volume_FB.csv,0.9994451352600001,-2.6595905928966665,0,13495,6,1582,15833
random,standard,realAdExchange/exchange-3_cpc_results.csv,0.9994451352600001,-3.219266342392369,0,1153,2,153,1538
random,standard,realKnownCause/rogue_agent_key_hold.csv,0.9994451352600001,-0.43709267020764175,1,1408,2,189,1882
random,standard,realTraffic/occupancy_6005.csv,0.9994451352600001,-1.434105430032654,0,1780,4,239,2380
random,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9994451352600001,-2.5486663209049194,0,3021,5,402,4032
random,standard,realTraffic/TravelTime_387.csv,0.9994451352600001,-2.30907546762325,1,1872,4,248,2500
