Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.448048400879,1.72310160415,3,3026,0,399,4032
randomCutForest,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.448048400879,0.164721679972,5,1229,4,159,1643
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.448048400879,-1.43,0,3415,13,0,4032
randomCutForest,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.448048400879,-0.184208367731,6,4016,19,524,5315
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.448048400879,1.71945773308,37,3454,9,428,4621
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.448048400879,-0.985177800204,30,13543,34,1496,15853
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.448048400879,1.67850206467,30,13549,10,1563,15902
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.448048400879,-2.06480989272,5,3520,28,468,4730
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.448048400879,0.84256984665,8,3539,8,466,4730
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.448048400879,1.61310160415,17,3025,1,385,4032
randomCutForest,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.448048400879,1.76216856994,5,5791,0,721,7267
randomCutForest,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.448048400879,0.862098587352,1,1155,0,152,1538
randomCutForest,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.448048400879,-1.13587834698,2,1219,0,160,1624
randomCutForest,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.448048400879,0.861272490375,1,1784,0,238,2380
randomCutForest,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.448048400879,2.61266176731,4,1155,0,149,1538
randomCutForest,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.448048400879,0.72882124279,1,3025,0,402,4032
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.448048400879,-0.926777355167,24,13653,7,1408,15842
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.448048400879,2.25931448849,14,13508,12,1574,15858
randomCutForest,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.448048400879,0.86067182427,20,3025,0,383,4032
randomCutForest,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.448048400879,-2.0,0,3025,0,403,4032
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.448048400879,0.78857383384,13,13474,27,1567,15831
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.448048400879,1.72310160415,26,3026,0,376,4032
randomCutForest,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.448048400879,1.7360251845,6,1875,0,244,2500
randomCutForest,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.448048400879,0.0,0,3428,0,0,4032
randomCutForest,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.448048400879,-2.0,0,3025,0,403,4032
randomCutForest,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.448048400879,-2.52739941276,1,1404,6,189,1882
randomCutForest,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.448048400879,-2.0,0,1218,0,163,1624
randomCutForest,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.448048400879,0.0,0,3428,0,0,4032
randomCutForest,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.448048400879,0.0,0,3428,0,0,4032
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.448048400879,1.60595613499,3,3025,1,399,4032
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.448048400879,0.75007641039,41,13533,31,1547,15902
randomCutForest,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.448048400879,1.75691291901,10,1871,0,240,2495
randomCutForest,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.448048400879,-7.1846309122,2,8535,0,1033,10320
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.448048400879,-0.677657480369,5,3019,4,400,4032
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.448048400879,-5.71579675199,21,13482,71,1569,15893
randomCutForest,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.448048400879,0.0,0,3428,0,0,4032
randomCutForest,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.448048400879,-2.0,0,3025,0,403,4032
randomCutForest,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.448048400879,-5.11748388051,20,19677,0,2248,22695
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.448048400879,0.524546983675,6,3014,12,396,4032
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.448048400879,0.956537840284,18,3085,0,325,4032
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.448048400879,-1.68419610694,23,13474,40,1564,15851
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.448048400879,-1.6380192576,7,13470,31,1575,15833
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.448048400879,-3.35759635579,1,3021,2,404,4032
randomCutForest,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.448048400879,-2.0,0,1621,0,217,2162
randomCutForest,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.448048400879,-1.0374283061,4,1225,7,161,1643
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.448048400879,0.86067182427,6,3025,0,397,4032
randomCutForest,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.448048400879,1.09720203311,26,13527,4,1559,15866
randomCutForest,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.448048400879,-2.0,0,3025,0,403,4032
randomCutForest,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.448048400879,-4.0,0,931,0,126,1243
