Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.453918457031,1.72310160415,3,3026,0,399,4032
randomCutForest,standard,realAdExchange/exchange-4_cpm_results.csv,0.453918457031,1.16472167997,5,1229,4,159,1643
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.453918457031,-1.43,0,3415,13,0,4032
randomCutForest,standard,realKnownCause/rogue_agent_key_updown.csv,0.453918457031,-0.0742083677309,5,4017,18,525,5315
randomCutForest,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.453918457031,1.71945773308,36,3454,9,429,4621
randomCutForest,standard,realTweets/Twitter_volume_CVS.csv,0.453918457031,-0.875186691416,30,13544,33,1496,15853
randomCutForest,standard,realTweets/Twitter_volume_CRM.csv,0.453918457031,1.67850206467,29,13549,10,1564,15902
randomCutForest,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.453918457031,-1.95481814646,5,3521,27,468,4730
randomCutForest,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.453918457031,1.06256984665,7,3541,6,467,4730
randomCutForest,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.453918457031,1.61310160415,17,3025,1,385,4032
randomCutForest,standard,realKnownCause/ambient_temperature_system_failure.csv,0.453918457031,1.76216856994,3,5791,0,723,7267
randomCutForest,standard,realAdExchange/exchange-3_cpm_results.csv,0.453918457031,0.862098587352,1,1155,0,152,1538
randomCutForest,standard,realAdExchange/exchange-2_cpm_results.csv,0.453918457031,-0.135878346979,2,1219,0,160,1624
randomCutForest,standard,realTraffic/occupancy_6005.csv,0.453918457031,0.861272490375,1,1784,0,238,2380
randomCutForest,standard,realAdExchange/exchange-3_cpc_results.csv,0.453918457031,2.61266176731,4,1155,0,149,1538
randomCutForest,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.453918457031,-1.0,0,3025,0,403,4032
randomCutForest,standard,realTweets/Twitter_volume_GOOG.csv,0.453918457031,0.0732226448328,23,13653,7,1409,15842
randomCutForest,standard,realTweets/Twitter_volume_PFE.csv,0.453918457031,2.25931448849,14,13508,12,1574,15858
randomCutForest,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.453918457031,0.86067182427,17,3025,0,386,4032
randomCutForest,standard,artificialWithAnomaly/art_daily_nojump.csv,0.453918457031,-1.0,0,3025,0,403,4032
randomCutForest,standard,realTweets/Twitter_volume_AMZN.csv,0.453918457031,1.00857383384,13,13476,25,1567,15831
randomCutForest,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.453918457031,1.72310160415,24,3026,0,378,4032
randomCutForest,standard,realTraffic/occupancy_t4013.csv,0.453918457031,1.7360251845,6,1875,0,244,2500
randomCutForest,standard,artificialNoAnomaly/art_noisy.csv,0.453918457031,0.0,0,3428,0,0,4032
randomCutForest,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.453918457031,-1.0,0,3025,0,403,4032
randomCutForest,standard,realKnownCause/rogue_agent_key_hold.csv,0.453918457031,-1.52739941276,1,1404,6,189,1882
randomCutForest,standard,realAdExchange/exchange-2_cpc_results.csv,0.453918457031,-1.0,0,1218,0,163,1624
randomCutForest,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.453918457031,0.0,0,3428,0,0,4032
randomCutForest,standard,artificialNoAnomaly/art_flatline.csv,0.453918457031,0.0,0,3428,0,0,4032
randomCutForest,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.453918457031,1.60595613499,3,3025,1,399,4032
randomCutForest,standard,realTweets/Twitter_volume_AAPL.csv,0.453918457031,0.75007641039,40,13533,31,1548,15902
randomCutForest,standard,realTraffic/speed_t4013.csv,0.453918457031,1.75691291901,9,1871,0,241,2495
randomCutForest,standard,realKnownCause/nyc_taxi.csv,0.453918457031,-3.1846309122,2,8535,0,1033,10320
randomCutForest,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.453918457031,0.322342519631,5,3019,4,400,4032
randomCutForest,standard,realTweets/Twitter_volume_IBM.csv,0.453918457031,-5.34294887359,19,13486,67,1571,15893
randomCutForest,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.453918457031,0.0,0,3428,0,0,4032
randomCutForest,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.453918457031,-1.0,0,3025,0,403,4032
randomCutForest,standard,realKnownCause/machine_temperature_system_failure.csv,0.453918457031,-2.1185689822,19,19677,0,2249,22695
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.453918457031,0.524546983675,6,3014,12,396,4032
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.453918457031,0.956537840284,17,3085,0,326,4032
randomCutForest,standard,realTweets/Twitter_volume_KO.csv,0.453918457031,-1.57419610694,22,13475,39,1565,15851
randomCutForest,standard,realTweets/Twitter_volume_FB.csv,0.453918457031,-1.5280192576,7,13471,30,1575,15833
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.453918457031,-1.35759635579,1,3021,2,404,4032
randomCutForest,standard,realTraffic/TravelTime_451.csv,0.453918457031,-1.0,0,1621,0,217,2162
randomCutForest,standard,realAdExchange/exchange-4_cpc_results.csv,0.453918457031,0.0725680870055,4,1226,6,161,1643
randomCutForest,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.453918457031,0.86067182427,6,3025,0,397,4032
randomCutForest,standard,realTweets/Twitter_volume_UPS.csv,0.453918457031,2.31720203311,25,13529,2,1560,15866
randomCutForest,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.453918457031,-1.0,0,3025,0,403,4032
randomCutForest,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.453918457031,-2.0,0,931,0,126,1243
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.453918457031,-0.691254918073,2,3018,8,400,4032
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.453918457031,-1.0,0,3025,0,403,4032
randomCutForest,standard,realTraffic/speed_6005.csv,0.453918457031,0.842622001756,3,1886,0,236,2500
randomCutForest,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.453918457031,1.84632452799,12,3080,2,334,4032
randomCutForest,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.453918457031,0.0,0,3428,0,0,4032
randomCutForest,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.453918457031,0.86067182427,17,3025,0,386,4032
randomCutForest,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.453918457031,0.666433666253,3,15800,1,1496,18050
randomCutForest,standard,realTraffic/TravelTime_387.csv,0.453918457031,-1.79598133079,1,1870,6,248,2500
randomCutForest,standard,realTraffic/speed_7578.csv,0.453918457031,1.47082197457,4,840,2,112,1127
Totals,,,,3.98356657241,473,298963,384,33022,365558
