Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
skyline,reward low FN rate,realKnownCause/ec2_request_latency_system_failure.csv,0.8000000000000003,-0.9082435642790054,5,3082,0,341,4032
skyline,reward low FN rate,artificialWithAnomaly/art_daily_nojump.csv,0.8000000000000003,-2.0,0,3025,0,403,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.8000000000000003,0.8606755737733893,30,3025,0,373,4032
skyline,reward low FN rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.8000000000000003,1.0712872667887714,18,3445,21,444,4621
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.8000000000000003,0.0,0,3428,0,0,4032
skyline,reward low FN rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.8000000000000003,-1.1384454445914618,44,3026,0,358,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.8000000000000003,0.8589124122602588,20,3025,0,383,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.8000000000000003,0.7789633920114808,6,3021,4,397,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.8000000000000003,1.3238143984756627,7,3539,8,467,4730
skyline,reward low FN rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.8000000000000003,0.0,0,3428,0,0,4032
skyline,reward low FN rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.8000000000000003,-2.165,0,13841,3,1499,18050
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.8000000000000003,-4.0,0,3026,0,402,4032
skyline,reward low FN rate,artificialNoAnomaly/art_daily_no_noise.csv,0.8000000000000003,0.0,0,3428,0,0,4032
skyline,reward low FN rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.8000000000000003,-2.0,0,3025,0,403,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.8000000000000003,-0.33548151767284584,9,3524,24,464,4730
skyline,reward low FN rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.8000000000000003,-0.34717671890012625,6,3021,2,399,4032
skyline,reward low FN rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.8000000000000003,-2.11,0,930,2,125,1243
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.8000000000000003,0.4673217725899239,27,3000,26,375,4032
skyline,reward low FN rate,artificialNoAnomaly/art_flatline.csv,0.8000000000000003,0.0,0,3428,0,0,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.8000000000000003,0.8606755737733893,5,3025,0,398,4032
skyline,reward low FN rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.8000000000000003,1.6417385164884468,4,3025,1,398,4032
skyline,reward low FN rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.8000000000000003,-2.0,0,3025,0,403,4032
skyline,reward low FN rate,realKnownCause/machine_temperature_system_failure.csv,0.8000000000000003,-3.094310257909356,32,17019,1,2239,22695
skyline,reward low FN rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.8000000000000003,-2.0,0,3025,0,403,4032
skyline,reward low FN rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.8000000000000003,0.8441229558853572,59,3025,0,344,4032
skyline,reward low FN rate,artificialNoAnomaly/art_noisy.csv,0.8000000000000003,0.0,0,3428,0,0,4032
skyline,reward low FN rate,artificialNoAnomaly/art_daily_small_noise.csv,0.8000000000000003,0.0,0,3428,0,0,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.8000000000000003,-1.3509954162033233,1,3026,0,401,4032
skyline,reward low FN rate,artificialWithAnomaly/art_increase_spike_density.csv,0.8000000000000003,0.8606755737733893,1,3025,0,402,4032
skyline,reward low FN rate,realKnownCause/ambient_temperature_system_failure.csv,0.8000000000000003,-4.0,0,5451,0,726,7267
skyline,reward low FN rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.8000000000000003,1.7195739761720574,23,3026,0,379,4032
skyline,reward low FN rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.8000000000000003,-1.3034454445914618,2,3023,3,400,4032
Totals,,,,-17.46533695215545,299,125818,95,13326,164136
