Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
skyline,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,0.027621670132051523,3,3082,0,343,4032
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.9565378402835625,6,3085,0,337,4032
skyline,reward_low_FP_rate,realTraffic/speed_6005.csv,1.0,0.8426220017559383,3,1886,0,236,2500
skyline,reward_low_FP_rate,realTraffic/TravelTime_451.csv,1.0,-1.0,0,1621,0,217,2162
skyline,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,0.06413807141304417,3,3460,3,462,4621
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,0.0,0,3428,0,0,4032
skyline,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.0,0,3025,0,403,4032
skyline,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,1.0,-2.0,0,4035,0,530,5315
skyline,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,-1.0,0,1784,0,239,2380
skyline,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,1.0,-0.9196362378755247,10,13652,8,1422,15842
skyline,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,1.0,-4.622260977926928,29,13487,44,1556,15866
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.8589086704377245,4,3025,0,399,4032
skyline,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,0.0,0,3428,0,0,4032
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,0.842569846650011,4,3543,4,470,4730
skyline,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,-3.0,0,1232,0,165,1643
skyline,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,4032
skyline,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-1.44,0,15799,2,1499,18050
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.0,0,3026,0,402,4032
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.9989590400616454,1,3025,0,402,4032
skyline,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.0,0,3025,0,403,4032
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.0,0,3548,0,473,4730
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-3.0,0,3023,0,405,4032
skyline,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,1.0,-4.0,0,13520,0,1588,15858
skyline,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.0,0,931,0,126,1243
skyline,reward_low_FP_rate,realTraffic/TravelTime_387.csv,1.0,-0.303296561380635,4,1872,4,245,2500
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-0.5150120368825837,5,3017,6,400,4032
skyline,reward_low_FP_rate,realTraffic/speed_7578.csv,1.0,-0.38766891223616207,5,841,1,111,1127
skyline,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,4032
skyline,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,1.0,1.1214608452254988,24,13551,13,1564,15902
skyline,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,0.8606718242697022,3,3025,0,400,4032
skyline,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1624
