Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
twitterADVec,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-1.76,0,3420,8,0,4032
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-2.799674347362198,0,3539,9,473,4730
twitterADVec,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,0.6302882892974607,5,3023,2,398,4032
twitterADVec,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-1.76,0,3420,8,0,4032
twitterADVec,reward_low_FP_rate,realTraffic/TravelTime_387.csv,1.0,-2.015981330785282,1,1872,4,248,2500
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-1.1163267176713663,1,3018,7,402,4032
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,1.0,-0.059607721131375246,14,13504,16,1574,15858
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-0.2719017464437061,11,13482,19,1569,15831
twitterADVec,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,1.0,0.0,0,3428,0,0,4032
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-1.4488933081460365,2,3020,6,400,4032
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,1.0,-2.015178189476594,5,13484,17,1577,15833
twitterADVec,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,2.0215068567753214,8,3082,0,338,4032
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,1.0980720722006998,5,3023,3,397,4032
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,1.0,-1.264348395031711,12,13496,18,1575,15851
twitterADVec,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,1.0,-0.9375134626492292,1,1219,0,161,1624
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,1.0,-1.4796612876709436,15,13548,16,1573,15902
twitterADVec,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,1.0,0.7192954540371539,3,1155,0,150,1538
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.6308131121639758,8,3085,0,335,4032
twitterADVec,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,-1.76,0,3420,8,0,4032
twitterADVec,reward_low_FP_rate,realTraffic/speed_7578.csv,1.0,-0.3421716378232862,2,842,0,114,1127
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,1.0,0.5609078197812059,21,13567,10,1505,15853
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.0,0,931,0,126,1243
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,1.0,-1.1907992288185343,15,13538,15,1575,15893
twitterADVec,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,0.7606143061275237,8,3025,0,395,4032
twitterADVec,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,1.0,-2.44,0,1408,2,190,1882
twitterADVec,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,0.641391591577601,1,1783,1,238,2380
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-1.0749083207743633,2,3021,5,400,4032
twitterADVec,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1624
twitterADVec,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,1.0,-5.0,0,8535,0,1035,10320
twitterADVec,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,1.0,-0.2581645311736709,22,13655,5,1410,15842
twitterADVec,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-1.01320103312598,26,15792,9,1473,18050
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,1.275956134991235,4,3024,2,398,4032
twitterADVec,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,1.0,-0.003218705037757452,1,3020,5,402,4032
twitterADVec,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-0.4835264248766824,2,1232,1,162,1643
twitterADVec,reward_low_FP_rate,realTraffic/TravelTime_451.csv,1.0,-1.0,0,1621,0,217,2162
twitterADVec,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,1.0,0.862098587352162,1,1155,0,152,1538
twitterADVec,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-0.23721314526830195,45,19677,0,2223,22695
twitterADVec,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-0.27734259156475227,2,3019,6,401,4032
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,0.18351051962319564,2,3540,7,472,4730
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-0.3509982435695854,1,3026,0,401,4032
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-2.4200478535544505,2,3017,6,403,4032
twitterADVec,reward_low_FP_rate,realTraffic/speed_t4013.csv,1.0,1.7461092547365271,4,1871,0,246,2495
twitterADVec,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,1.0,-2.174808323097505,1,4027,8,529,5315
twitterADVec,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-2.9815272958390278,1,3455,8,464,4621
twitterADVec,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,1.0,1.725221520228401,5,1875,0,245,2500
twitterADVec,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,0.5123081140755383,2,1231,1,163,1643
twitterADVec,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-0.3192176951206107,2,3019,6,401,4032
