Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
twitterADVec,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-0.88,0,3420,8,0,4032
twitterADVec,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.899837173681099,0,3539,9,473,4730
twitterADVec,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,0.7437075853739245,5,3023,2,398,4032
twitterADVec,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-0.88,0,3420,8,0,4032
twitterADVec,standard,realTraffic/TravelTime_387.csv,1.0,-1.575981330785282,1,1872,4,248,2500
twitterADVec,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-0.3723212617453359,1,3018,7,402,4032
twitterADVec,standard,realTweets/Twitter_volume_PFE.csv,1.0,1.6975686191533434,14,13504,16,1574,15858
twitterADVec,standard,realTweets/Twitter_volume_AMZN.csv,1.0,1.6685708423081669,11,13482,19,1569,15831
twitterADVec,standard,artificialNoAnomaly/art_noisy.csv,1.0,0.0,0,3428,0,0,4032
twitterADVec,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-0.7936712530352193,2,3020,6,400,4032
twitterADVec,standard,realTweets/Twitter_volume_FB.csv,1.0,-0.14690124100048352,5,13484,17,1577,15833
twitterADVec,standard,realKnownCause/ec2_request_latency_system_failure.csv,1.0,2.0215068567753214,8,3082,0,338,4032
twitterADVec,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,1.4105868381759477,5,3023,3,397,4032
twitterADVec,standard,realTweets/Twitter_volume_KO.csv,1.0,0.7145548714038796,12,13496,18,1575,15851
twitterADVec,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,-0.9375134626492292,1,1219,0,161,1624
twitterADVec,standard,realTweets/Twitter_volume_AAPL.csv,1.0,0.16875476040056792,15,13548,16,1573,15902
twitterADVec,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,0.7192954540371539,3,1155,0,150,1538
twitterADVec,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.6308131121639758,8,3085,0,335,4032
twitterADVec,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,-0.88,0,3420,8,0,4032
twitterADVec,standard,realTraffic/speed_7578.csv,1.0,-0.3421716378232862,2,842,0,114,1127
twitterADVec,standard,realTweets/Twitter_volume_CVS.csv,1.0,1.6536820613935406,21,13567,10,1505,15853
twitterADVec,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.0,0,931,0,126,1243
twitterADVec,standard,realTweets/Twitter_volume_IBM.csv,1.0,0.30088468776579846,15,13538,15,1575,15893
twitterADVec,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,0.7606143061275237,8,3025,0,395,4032
twitterADVec,standard,realKnownCause/rogue_agent_key_hold.csv,1.0,-2.22,0,1408,2,190,1882
twitterADVec,standard,realTraffic/occupancy_6005.csv,1.0,0.751332040976497,1,1783,1,238,2380
twitterADVec,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-0.6066787593493828,2,3021,5,400,4032
twitterADVec,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1624
twitterADVec,standard,realKnownCause/nyc_taxi.csv,1.0,-5.0,0,8535,0,1035,10320
twitterADVec,standard,realTweets/Twitter_volume_GOOG.csv,1.0,0.29183520231959315,22,13655,5,1410,15842
twitterADVec,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-0.023201033125979986,26,15792,9,1473,18050
twitterADVec,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,1.495956134991235,4,3024,2,398,4032
twitterADVec,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.4655150471765597,1,3020,5,402,4032
